A.19078,A.19312,A.19332,B.15012,B.15076,B.15096,C.11064,C.11070,C.11425,D.07042,D.07418,D.07428,E.03072,E.03094,E.03098,F.98314,F.98372,F.98398
0.000565611,0,0.001101322,0.000921659,0.001857227,0.000921659,0,0.000774625,0.000493827,0.000536481,0,0.000844595,0.002060932,0.000980392,0,0.002486657,0.002486657,0.002869603
0.028013486,0.027775156,0.026633687,0.018527429,0.026312603,0.018527429,0.027796161,0.039623313,0.032406858,0.030776603,0.028878913,0.031514336,0.028655466,0.024126011,0.031620594,0.037459266,0.037459266,0.037982033
0.057104349,0.053224583,0.045242894,0.049705633,0.049682561,0.049705633,0.047371696,0.049813279,0.06281313,0.055119029,0.051603369,0.057514769,0.053949915,0.061860523,0.053645818,0.047353154,0.047353154,0.067767369
0.016686984,0.011943647,0.012074776,0.010664995,0.014247605,0.010664995,0.017029418,0.015851232,0.017097312,0.017535215,0.01541865,0.019235405,0.020944388,0.023148859,0.015700715,0.019961551,0.019961551,0.028016819
0.00368689,0.003198083,0.003985497,0.002722674,0.006505546,0.002722674,0.006659793,0.001241906,0.004258412,0.005952381,0.002910534,0.001224882,0,0.00507095,0.006821971,0.007840081,0.007840081,0.013798883
0.01279643,0.014459595,0.012630978,0.02138096,0.022803976,0.02138096,0.031743823,0.017111067,0.020400253,0.032083749,0.019009445,0.016118335,0.02045727,0.024931973,0.019026616,0.043966671,0.043966671,0.032282006
0.002393916,0.010333995,0.002290822,0.009332048,0.005504587,0.009332048,0.025722543,0.007203432,0.006034483,0.025294118,0.01953125,0.011756497,0.013935574,0,0.010621389,0.038831615,0.038831615,0.0125
0.007907279,0.006399632,0.00818401,0.010605793,0.026759236,0.010605793,0.026423864,0.010523318,0.005777727,0.014539726,0.015632516,0.015757654,0.021060829,0.009005038,0.01659353,0.043465045,0.043465045,0.02682189
0.02027775,0.012118499,0.013150908,0.024530439,0.013949759,0.024530439,0.019633409,0.020001185,0.038651524,0.02016369,0.010160966,0.016288923,0.033314839,0.023346952,0.030115718,0.049902301,0.049902301,0.037596028
0.002174803,0.002576608,0.002431855,0.005139138,0.005577438,0.005139138,0.005489072,0.003353212,0.003649429,0.002779541,0.00322694,0.003580522,0.005854386,0.002392548,0.004068065,0.007515493,0.007515493,0.00584395
0.007805722,0.012231074,0.011565339,0.009686971,0.01741388,0.009686971,0.014514652,0.008684707,0.021874833,0.016222349,0.003856797,0.010843005,0.013879915,0.011080496,0.008607395,0.025556444,0.025556444,0.014486922
0.000821429,0.002442197,0.00294533,0.005925325,0.003746936,0.005925325,0.004379562,0.006360355,0.004273676,0.008966873,0.024101238,0.003125722,0,0.00385564,0.010655849,0.022707881,0.022707881,0.017702514
0.002670284,0.005327373,0.003082956,0.004338497,0.002476137,0.004338497,0.004652969,0.00398882,0.004209139,0.004854697,0.004863938,0.004948494,0,0.002752275,0.00885494,0.00709542,0.00709542,0.004000239
0.00069944,0.001537264,0.000708383,0.001230734,0.000639719,0.001230734,0.001901141,0.001490826,0.001686122,0.000739247,0.000442087,0.001502732,0.001564027,0.002117264,0.00138387,0.001105769,0.001105769,0.00382922
0.004590284,0.013388841,0.008731352,0.002032281,0.006410023,0.002032281,0.006685051,0.004257429,0.007672501,0.007970037,0.007126092,0.009606857,0,0.017442234,0.010002661,0.02951928,0.02951928,0.012779105
0.008074291,0.008090748,0.00486793,0.014352288,0.010829818,0.014352288,0.027572575,0.018509644,0.019715527,0.028353897,0.024790441,0.017220536,0,0.017596277,0.035937316,0.061000063,0.061000063,0.025349956
0,0.002222222,0,0,0.00106383,0,0.007894737,0,0,0,0.01037851,0.000480769,0,0,0.001612903,0.012449799,0.012449799,0.006436203
0.004545779,0.010270099,0.007879408,0.005506102,0.012670242,0.005506102,0.019916264,0.029795087,0.018090915,0.014528501,0.014113624,0.015896273,0.021516065,0.006921254,0.020936052,0.046866559,0.046866559,0.017008347
0.001142148,0.001186526,0.001749486,0.00266262,0.003702508,0.00266262,0.007337698,0.001117614,0.002884547,0.002636803,0.002492206,0.001990314,0.002033514,0.002360956,0.002640332,0.006774318,0.006774318,0.006348062
0.052136405,0.029144404,0.028224638,0.027633388,0.055607818,0.027633388,0.044746707,0.021918613,0.031796166,0.041875423,0.037363987,0.04338189,0.050471926,0.028574356,0.042909357,0.046903787,0.046903787,0.059890531
0.007788671,0.006310238,0.007741348,0.006221822,0.00908234,0.006221822,0.011926706,0.008545918,0.013914835,0.015197347,0.014181354,0.011453227,0.016188786,0.018681359,0.019109508,0.023861577,0.023861577,0.01081894
0.002992582,0.005087193,0.007197771,0.004825563,0.011497526,0.004825563,0.019904401,0.00887109,0.010113685,0.01263343,0.008680617,0.006040799,0,0.01294021,0.014881325,0.020406584,0.020406584,0.009230395
0.001204051,0.000329281,0.002489613,0.001430649,0.004139141,0.001430649,0.002741081,0.002708487,0.002777121,0.005405518,0.00395775,0.006889975,0.004307169,0.004674919,0.013138357,0.012771173,0.012771173,0.002707147
0.008190886,0.001755129,0.003736858,0.013155316,0.010229064,0.013155316,0.012753557,0.007599047,0.007651368,0.012959525,0.012354857,0.004580069,0.010453777,0.010565407,0.015574528,0.022972076,0.022972076,0.010736561
0.016411018,0.005917829,0.00736658,0.009312511,0.012968743,0.009312511,0.034212331,0.029963066,0.013829611,0.023551458,0.015746795,0.016263226,0,0.011224164,0.03064246,0.050157784,0.050157784,0.06786591
0.006094802,0.005801064,0.006598578,0.006138933,0.005215081,0.006138933,0.009385848,0.005958254,0.006101759,0.00581761,0.00518018,0.006960292,0.006747622,0.006466725,0.004876916,0.00678793,0.00678793,0.00892955
0.00648216,0.007371895,0.006478348,0.012939342,0.013505776,0.012939342,0.012138095,0.00729504,0.012227315,0.020817281,0.018721006,0.01930149,0,0.003415811,0.024372202,0.038480129,0.038480129,0.033196745
0.007467607,0.005876613,0.006196782,0.007639007,0.006337697,0.007639007,0.011304282,0.007570532,0.009404338,0.023060268,0.015709473,0.007540309,0,0.014604781,0.022607108,0.0563144,0.0563144,0.009853424
0.002367012,0.000320513,0.001388381,0.000520833,0,0.000520833,0.003174603,0.003671665,0.002204929,0.001018519,0.001398601,0.001817602,0.002777778,0.002192982,0.001995596,0.00584813,0.00584813,0.002662045
0.013177005,0.014159274,0.011935313,0.014433215,0.013038413,0.014433215,0.014058942,0.015379227,0.016284869,0.012744315,0.016854579,0.014069835,0.013308693,0.015529441,0.012484973,0.017203837,0.017203837,0.018289543
0.01592485,0.014225225,0.014327685,0.015157599,0.015148969,0.015157599,0.023690717,0.015483701,0.015728454,0.015768032,0.014775724,0.017120127,0.015945399,0.013577949,0.017748538,0.024503683,0.024503683,0.016260208
0.006052226,0.00459308,0.005975106,0.010024258,0.008187074,0.010024258,0.006011933,0.006134484,0.008178068,0.003632489,0.005950099,0.006458458,0.007691859,0.007857256,0.008256116,0.011112957,0.011112957,0.01473442
0.008204064,0.005247016,0.007025101,0.005890048,0.008952592,0.005890048,0.005787868,0.009736457,0.008382254,0.005253392,0.011710566,0.006241084,0.009415737,0.006824846,0.008062649,0.004973935,0.004973935,0.015419496
0.00586401,0.004822551,0.00404744,0.004627228,0.007089559,0.004627228,0.006983834,0.007732943,0.006862782,0.007172858,0.004817906,0.006262463,0.006310143,0.006081359,0.006809335,0.015048238,0.015048238,0.00707151
0.006325616,0.010389794,0.005934866,0.008497226,0.012144523,0.008497226,0.026178028,0.011056748,0.007243505,0.019191092,0.021662903,0.01010529,0,0.010998788,0.018981609,0.044577206,0.044577206,0.019585986
0.002181135,0.004342723,0.003644764,0.003715274,0.015892604,0.003715274,0.009032731,0.00389965,0.003832724,0.008747092,0.0082631,0.005980446,0.007609009,0.009474906,0.01737913,0.018153794,0.018153794,0.007428403
0.012831234,0.019338093,0.012103059,0.025418169,0.021747247,0.025418169,0.043989719,0.028386243,0.034823825,0.035930214,0.04442879,0.029521234,0.038981153,0.041850054,0.039366053,0.052273235,0.052273235,0.052189081
0.006076983,0.010915482,0.007872436,0.009632117,0.00993676,0.009632117,0.015391335,0.012070208,0.012705861,0.016077571,0.010989229,0.012600818,0.015716337,0.009579942,0.017355507,0.023357884,0.023357884,0.018541321
